Summary,Issue Type,Priority,Description,Labels,Component,Assignee,Story Points
"Crear componente ProtectedRoute para rutas administrativas",Task,High,"Implementar HOC que valide rol de usuario y redirija a login si no es admin","autenticacion,seguridad,react","Seguridad","Rodrigo Yarzu",5
"Implementar sistema de autenticación con roles (admin/usuario)",Task,High,"Sistema que diferencie entre usuarios normales y administradores en localStorage","autenticacion,roles,seguridad","Seguridad","Rodrigo Yarzu",8
"Crear página Login con validación de credenciales",Task,High,"Página completa de login con validación de email/password y manejo de errores","autenticacion,ui,validacion","Autenticación","Rodrigo Yarzu",5
"Crear página AdminUsuarios (listado CRUD)",Task,High,"Página administrativa con tabla de usuarios, filtros y acciones CRUD","admin,crud,usuarios","Panel Admin","Claudio Francisco Delgado Gallardo",8
"Crear página Productos con filtros y búsqueda",Task,High,"Catálogo completo con filtros por categoría, búsqueda en tiempo real y paginación","productos,catalogo,filtros","Productos","Giovanni Antonio Orellana Muñoz",8
"Crear página Detalle de producto con zoom de imagen",Task,High,"Vista detallada de producto con galería de imágenes, zoom, stock y valoraciones","productos,ui,zoom","Productos","Giovanni Antonio Orellana Muñoz",5
"Crear página AdminProductos (gestión CRUD completa)",Task,High,"Panel administrativo con tabla de productos, búsqueda y acciones CRUD","admin,crud,productos","Panel Admin","Claudio Francisco Delgado Gallardo",8
"Crear página Carrito completa (resumen, totales, finalizar compra)",Task,High,"Página dedicada con tabla de productos, cantidades, subtotales, descuentos y botón finalizar","carrito,compras,ui","Carrito","Rodrigo Yarzu",8
"Implementar actualización de stock al finalizar compra",Task,High,"Reducir stock de productos automáticamente al confirmar compra","carrito,stock,logica","Carrito","Rodrigo Yarzu",5
"Crear página AdminHome (dashboard con estadísticas)",Task,High,"Dashboard con KPIs: total productos, usuarios, stock bajo, productos destacados","admin,dashboard,estadisticas","Panel Admin","Claudio Francisco Delgado Gallardo",5
