Summary,Issue Type,Priority,Description,Labels,Component,Assignee,Story Points,Status
"Reunión inicial",Task,Medium,"Reunión de planificación y organización del proyecto","planning,inicial","Configuración",,2,Done
"Configuración del Proyecto",Task,Medium,"Setup inicial del proyecto React","configuracion,setup","Configuración","Claudio Francisco Delgado Gallardo",3,Done
"Crear proyecto React con create-react-app",Task,Medium,"Inicializar proyecto con CRA","react,setup","Configuración","Rodrigo Yarzu",2,Done
"Instalar dependencias (React Router DOM)",Task,Medium,"Instalación de React Router v7.9.4","dependencias,routing","Configuración","Claudio Francisco Delgado Gallardo",2,Done
"Configurar estructura de carpetas (components, pages, styles, context, utils)",Task,Medium,"Organizar arquitectura del proyecto","estructura,folders","Configuración","Rodrigo Yarzu",3,Done
"Integrar Bootstrap 5.3.8 via CDN",Task,Medium,"Agregar Bootstrap al proyecto","bootstrap,css","Estilos","Giovanni Antonio Orellana Muñoz",2,Done
"Integrar Google Fonts (Orbitron, Roboto)",Task,Medium,"Agregar tipografías del proyecto","fonts,estilos","Estilos","Claudio Francisco Delgado Gallardo",2,Done
"Componentes Base",Task,Medium,"Creación de componentes básicos reutilizables","components,base","Componentes","Rodrigo Yarzu",5,Done
"Crear componente Header con navegación",Task,Medium,"Header con menú responsive y carrito dropdown","header,navegacion","Componentes","Giovanni Antonio Orellana Muñoz",5,Done
"Crear componente Footer con redes sociales",Task,Medium,"Footer con links y redes sociales","footer,ui","Componentes","Claudio Francisco Delgado Gallardo",3,Done
"Implementar React Router con todas las rutas",Task,Medium,"Configuración completa de rutas públicas y privadas","routing,navegacion","Configuración","Rodrigo Yarzu",5,Done
"Crear sistema de notificaciones (pop-ups personalizados)",Task,Medium,"Sistema de toasts/notificaciones reutilizable","notificaciones,ui","Componentes","Giovanni Antonio Orellana Muñoz",5,Done
"Crear componente NotificacionContainer",Task,Medium,"Container para gestionar múltiples notificaciones","notificaciones,container","Componentes","Claudio Francisco Delgado Gallardo",3,Done
"Context API y Estado Global",Task,Medium,"Implementación de Context API para estado global","context,estado","Utilidades","Rodrigo Yarzu",8,Done
"Crear CarritoContext con Context API",Task,Medium,"Context para gestionar estado del carrito","carrito,context","Carrito","Giovanni Antonio Orellana Muñoz",5,Done
"Implementar funciones: agregarAlCarrito, eliminarDelCarrito, actualizarCantidad, vaciarCarrito",Task,Medium,"Lógica completa del carrito de compras","carrito,funciones","Carrito","Claudio Francisco Delgado Gallardo",8,Done
"Implementar calcularTotales con descuento 20% para @duoc.cl",Task,Medium,"Cálculo de totales con descuento automático Duoc","carrito,descuento","Carrito","Rodrigo Yarzu",5,Done
"Implementar obtenerCantidadTotal",Task,Medium,"Función para obtener cantidad total de items en carrito","carrito,utilidades","Carrito","Giovanni Antonio Orellana Muñoz",2,Done
"Sincronizar carrito con localStorage",Task,Medium,"Persistencia del carrito en localStorage","carrito,storage","Carrito","Claudio Francisco Delgado Gallardo",5,Done
"Usar estructura EVA1 (codigo/qty en lugar de id/cantidad)",Task,Medium,"Adaptar estructura de datos a formato EVA1","carrito,compatibilidad","Carrito","Rodrigo Yarzu",3,Done
"Páginas Públicas",Task,Medium,"Desarrollo de páginas informativas","paginas,publicas","Páginas Públicas","Giovanni Antonio Orellana Muñoz",8,Done
"Migrar página Home con hero y carrusel",Task,Medium,"Homepage con hero section y carrusel de destacados","home,ui","Páginas Públicas","Claudio Francisco Delgado Gallardo",8,Done
"Agregar funcionalidad 'Agregar al carrito' en carrusel",Task,Medium,"Botones funcionales en productos destacados","home,carrito","Páginas Públicas","Rodrigo Yarzu",3,Done
"Migrar página Productos con grid de productos",Task,Medium,"Catálogo de productos con grid responsive","productos,catalogo","Productos","Giovanni Antonio Orellana Muñoz",8,Done
"Migrar página Detalle de producto",Task,Medium,"Vista detallada de producto individual","productos,detalle","Productos","Rodrigo Yarzu",5,Done
"Migrar página Carrito",Task,Medium,"Página completa del carrito de compras","carrito,ui","Carrito","Claudio Francisco Delgado Gallardo",8,Done
"Migrar página Login",Task,Medium,"Página de inicio de sesión","login,auth","Autenticación","Giovanni Antonio Orellana Muñoz",5,Done
"Migrar página Registro",Task,Medium,"Página de registro de usuarios","registro,auth","Autenticación","Rodrigo Yarzu",5,Done
"Migrar página Contacto",Task,Medium,"Formulario de contacto","contacto,form","Páginas Públicas","Claudio Francisco Delgado Gallardo",3,Done
"Migrar página Nosotros",Task,Medium,"Página institucional","nosotros,institucional","Páginas Públicas","Giovanni Antonio Orellana Muñoz",3,Done
"Migrar página Noticias",Task,Medium,"Sección de noticias gaming","noticias,contenido","Páginas Públicas","Rodrigo Yarzu",3,Done
"Migrar AdminHome",Task,Medium,"Dashboard administrativo","admin,dashboard","Panel Admin","Claudio Francisco Delgado Gallardo",5,Done
"Migrar AdminProductos",Task,Medium,"Gestión CRUD de productos","admin,productos","Panel Admin","Giovanni Antonio Orellana Muñoz",8,Done
"Migrar AdminUsuarios",Task,Medium,"Gestión CRUD de usuarios","admin,usuarios","Panel Admin","Rodrigo Yarzu",8,Done
"Migrar AdminDestacados",Task,Medium,"Gestión de productos destacados","admin,destacados","Panel Admin","Claudio Francisco Delgado Gallardo",5,Done
"Migrar AdminLogs",Task,Medium,"Sistema de auditoría y logs","admin,logs","Panel Admin","Giovanni Antonio Orellana Muñoz",5,Done
"Crear AdminProductoForm",Task,Medium,"Formulario para crear/editar productos","admin,form","Panel Admin","Rodrigo Yarzu",5,Done
"Crear AdminUsuarioForm",Task,Medium,"Formulario para crear/editar usuarios","admin,form","Panel Admin","Claudio Francisco Delgado Gallardo",5,Done
"Implementar ProtectedRoute",Task,High,"Protección de rutas administrativas","seguridad,routes","Seguridad","Giovanni Antonio Orellana Muñoz",5,Done
"Sistema de roles (admin/usuario)",Task,High,"Diferenciación de permisos por rol","auth,roles","Seguridad","Rodrigo Yarzu",8,Done
"Validación de RUN chileno",Task,Medium,"Validador de RUT/RUN con dígito verificador","validacion,chile","Utilidades","Claudio Francisco Delgado Gallardo",5,Done
"Sistema de regiones y comunas",Task,Medium,"Datos de regiones y comunas de Chile","datos,chile","Utilidades","Giovanni Antonio Orellana Muñoz",3,Done
"Crear utils/data.js",Task,Medium,"Módulo de gestión de datos localStorage","utils,storage","Utilidades","Rodrigo Yarzu",5,Done
"Crear utils/validators.js",Task,High,"Validaciones centralizadas (email, RUN, etc)","validacion,utils","Utilidades","Claudio Francisco Delgado Gallardo",5,Done
"Crear utils/regions.js",Task,Medium,"Datos de regiones y comunas","utils,datos","Utilidades","Giovanni Antonio Orellana Muñoz",3,Done
"Crear utils/logManager.js",Task,Medium,"Sistema de registro de eventos","logs,auditoria","Utilidades","Rodrigo Yarzu",3,Done
"Migrar notificaciones EVA1",Task,Medium,"Replicar sistema de notificaciones original","notificaciones,migracion","Componentes","Claudio Francisco Delgado Gallardo",5,Done
"Validaciones JavaScript en Registro (sin validación HTML)",Task,Medium,"Validaciones custom sin atributos HTML5","registro,validacion","Autenticación","Rodrigo Yarzu",5,Done
"Validaciones JavaScript en Contacto (sin validación HTML)",Task,Medium,"Validaciones custom en formulario contacto","contacto,validacion","Páginas Públicas","Giovanni Antonio Orellana Muñoz",3,Done
"Notificaciones en productos (agregar al carrito)",Task,Medium,"Toasts al agregar productos","notificaciones,productos","Componentes","Claudio Francisco Delgado Gallardo",2,Done
"Notificaciones en carrito (pagar, eliminar)",Task,Medium,"Toasts en acciones del carrito","notificaciones,carrito","Componentes","Rodrigo Yarzu",3,Done
"Notificaciones en admin (crear, editar, eliminar)",Task,Medium,"Toasts en panel administrativo","notificaciones,admin","Componentes","Giovanni Antonio Orellana Muñoz",3,Done
"Pop-ups con colores EVA1 (verde/rojo/azul)",Task,Medium,"Notificaciones con paleta de colores original","notificaciones,estilos","Componentes","Claudio Francisco Delgado Gallardo",2,Done
"Botón 'OK' para cerrar manualmente",Task,Medium,"Botón de cierre en notificaciones","notificaciones,ui","Componentes","Rodrigo Yarzu",2,Done
"Auto-cierre después de 3 segundos",Task,Medium,"Timer automático de notificaciones","notificaciones,auto","Componentes","Giovanni Antonio Orellana Muñoz",2,Done
"Datos y Persistencia",Task,Medium,"Sistema completo de persistencia","storage,datos","Utilidades","Claudio Francisco Delgado Gallardo",5,Done
"Crear utils/inicializarDatos.js",Task,Medium,"Script de inicialización de datos","utils,seed","Utilidades","Rodrigo Yarzu",3,Done
"Sembrar usuarios iniciales (admin y usuario)",Task,Medium,"Datos de prueba: usuarios","seed,usuarios","Utilidades","Giovanni Antonio Orellana Muñoz",2,Done
"Sembrar productos iniciales (3 productos base)",Task,Medium,"Datos de prueba: productos","seed,productos","Utilidades","Claudio Francisco Delgado Gallardo",3,Done
"Persistencia en localStorage",Task,Medium,"Guardar/cargar datos del navegador","storage,persistencia","Utilidades","Rodrigo Yarzu",5,Done
"Compatibilidad con campos correo/email",Task,Medium,"Soporte para ambos nombres de campo","compatibilidad,datos","Utilidades","Giovanni Antonio Orellana Muñoz",2,Done
"Estilos y UI",Task,Medium,"Sistema completo de estilos","css,ui","Estilos","Claudio Francisco Delgado Gallardo",8,Done
"Modularizar CSS por componente",Task,Medium,"Separar estilos en archivos independientes","css,modular","Estilos","Rodrigo Yarzu",5,Done
"Aplicar paleta de colores EVA1 (#000000, #1E90FF, #39FF14)",Task,Medium,"Colores negro, azul y verde neón","css,colores","Estilos","Giovanni Antonio Orellana Muñoz",3,Done
